text,language
I love how this channel provides actual high quality recipes and doesn’t clickbait!,english
This looks super easy to do. Thank you so much!,english
Βγάλε κιαλλο ρε mikeius εισαι φοβερός !!!,greek
"This was extremely helpful! At the moment, me and my family are currently enjoying this as a meal. The sound of the crunchy bites are extra satisfaction!",english
Ανυπομονούσα γ αυτό το βίντεο...  Είσαι ο μόνος που αξίζει να παρακολουθώ... Αληθινός με μπέσα... Σπάνιο στις μέρες μας... Respect για edit!!!!,greek
this guy keeps the egg industry in his area alive,english
"Μλκ Booyah με εκανες να δω την ζωη με λιγο διαφορετικο ματι,τι να πω ειλικρινα...σε ευχαριστω που υπαρχεις και κανεις τετοια βιντεο,ειμαι περηφανος που μπορω να λεω πως σε υποστηριζω απο παλια.",greek
"Τόσο καιρό που παρακολουθώ YouTube, και δε το ελληνικό, τώρα είμαι σίγουρος ότι άτομα σαν τον Mike, Μαλιάτση, και η παρέα τους, είναι το αντίθετο της ""παρέας"" Booyah, Tsach, Vibrator κλπ.  Απλά ευχαριστώ που υπάρχεις και κάνεις content ( και κάτι παραπάνω) και ανεβάζετε το επίπεδο όσο οι άλλοι το κατεβάζουν. Δίνεις ψυχή και συναίσθημα! Συνέχισε!",greek
Τελικά το μόνο που δεν κατάφερες να τερματίσεις ήταν η μπάλα που μπορεί να είχες γίνει ο νέος Μέσι ,greek
kai o undertaker exi dikeoma na vazi pantana ,greeklish
"Wow! When I made it, it tasted so good! Thank you",english
"Απίστευτο βίντεο Booyah.. Λίγα και καλά τα βίντεο σου όπως πάντα. Πήραμε τις δύο ώρες ειλικρίνιας σου και τώρα πάλι θα μείνουμε κανένα χρόνο μέσα στον βόθρο της σαπίλας και της υποκρισίας που παράγουν οι περισσότεροι... Και δυστυχώς είμαστε και εμείς μερίδα του προβλήματος γιατί μέσα στο χάος της ζωής μας και με τόση πληροφορία γύρω μας δεν μπορούμε να δούμε αν αυτό που βλέπουμε είναι αλήθεια ή όχι, είναι καλό ή κακό ... Απλώς μασάμε ότι μας σερβίρουν...",greek
I've added 1 more egg for my 3 kids and they really like it ,english
"Kalimera, ti kaneis tora? ",greeklish
"0:48: Well, this is egg fried rice.",english
What an wonderful recipe i will be makeing it immediately!,english
"Μόλις τελείωσε το βίντεο και εκτός ότι ανατρίχιασα με κατέκλυσε ένα μιξ συναισθημάτων.
Τώρα άντε να δούμε πόσο καιρό θα μας πάρει να ξαναδούμε το βίντεο και να συνειδητοποιήσουμε και άλλα πράγματα που δεν έχουμε τώρα αντιληφθεί.
Ευχαριστούμε πολύ για αυτά τα βίντεο που μας γαμανε το μυαλό αλλά booyah boss ",greek
o mikeius ixe dikio h pitirida ejafanistike me to head&shoulders!,greeklish
"Ότι και να πω είναι λίγο για αυτό το βίντεο. Δεν είχα δει κανένα από τα προηγούμενα ' ΕΛΛΗΝΙΚΟ YOUTUBE ' , αγνοούσα και την ύπαρξη τους, οπότε δεν ήξερα τί να περιμένω. Μίλησες για πράγματα που με πνίγανε, όπως γιατί στο YouTube ασχολούνται με τον ' Αρχηγό ' και από πού και ως πού έγινε επιστημονική αυθεντία ο μεταφραστής-σεξιστής-  κωμικός(;). Όσον αφορά το βίντεο το έβλεπα και δεν ήθελα να τελειώσει. Με τις 2:22:36 τίναξες τον αλγόριθμο του YouTube στον αέρα. Συνέχισε την καλή και ποιοτική δουλειά.",greek
Quick and easy perfect recipe! What would we do without you howtobasic,english
"This was very inspirational. 
I opened a gourmet restaurant, and this was the most popular dish I have served. 
The customers liked it so much, they couldn't think of a higher number than 5 stars, so they gave me 1.
Thank you so much.",english
Τα ''Σ'ΑΓΑΠΑΩ''... αυτό κρατάω περισσότερο. Δεν μπορώ να εκφράσω όσα θέλω να πω με λόγια...ειλικρινά δεν γίνεται! Αλλά μία αγκαλιά από όλους μας θα ήταν το καλύτερο κείμενο προς εσένα.,greek
I like when he throws all the eggs all over the place,english
Thelo na pao eksomologisi.,greeklish
Εντάξει τώρα το θέμα με Μαλιάτσης και Μιχάλη είναι περσινά ξινά σταφύλια. Μπράβο για τον σχολιασμό σου για τονν αρχηγό είπες αυτά που όλοι βλέπουν και κανείς δεν σχολιάζει...,greek
What an amazing Egg Fried Rice,english
"Επιτέλους μπήκε μια τάξη 
Μόνο ο booyah θα μπορούσε να τα πει 
Ρουφατε τώρα 
He did it like A BOOYAH BOSS!!!!!! ",greek
έχω να δω τέτοιο βίντεο πολύ καιρό.Μπραβο για την δουλειά σου και μπράβο για το ξεβρακομα .χρειάζεται σε μερικούς μπας και καλυτερέψει λίγο η κοινωνία μας !!,greek
"Μετά από 2 μέρες που μου πήρε για να δω το βίντεο με τρεχάματα κτλ:
1. Φίλε χαίρομαι που είσαι καλά μέσα σου και κατάφερες να βγεις πιο δυνατός άνθρωπος από την όλη κατάσταση. Με ωριμότητα και χρόνο καταφερες να εκτιμήσεις τα πράγματα που έχουν πραγματική αξία στη ζωή και δεν έπεσες στο τριπάκι των υπολοίπων.",greek
No way this man hasn't been sponsored by a giant egg farm yet. So happy to see this channel stayed the same.,english
"Αδελφέ σήμερα αφιέρωσα όλο το  βράδυ της Κυριακής στο Κανάλι σου βλέποντας στην αρχή το τελευταίο βίντεο διάρκειας 1 ώρας και κάτι (συν τις διαφημίσεις που πετάγονται τακτικά) και αυτό το βίντεο στη συνέχεια .2.22 λεπτά (συν επίσης τις διαφημίσεις) γιατί είχαν ενδιαφέρον και κυρίως είδα τον παλιό booyah τον οποίο μας σύστησες και αγνοούσαμε αλλά και τον νέον booyah ο οποίος εντοπίζει την υποκρισία του παλεύει με αυτήν μαθαίνει να συγχωρά και γι αυτό κράζει και το κοινό και όλους σε μικρά ή μεγάλα κανάλια τα οποία κρύβουν ή αγνοούν την υποκρισία τους αλλά τους ευχαριστείς κι όλας γιατί σε έμαθαν (συνειδητά ή ασυνείδητα) να είσαι καλύτερος! Σε ευχαριστώ Αλέξανδρε γιατί και εμένα σήμερα με έκανες καλύτερο και είδα και την δική μου υποκρισία μέσα και εκτός του ράσου. Συγνώμη για το θεολογικό που θα πώ αλλά νομίζω ταιριάζει και κουμπώνει με την περίσταση και όλα αυτά που έθιξες : Ο αμαρτωλός έχει συναίσθηση  της αμαρτωλότητός του και κάποια στιγμή αργά ή γρήγορα θα μετανοήσει και θα διορθωθεί...! Ο Υποκριτής όμως (όπως ο Ιούδας που τελικά πρόδωσε τον Χριστό) δεν έχει συναίσθηση της υποκρισίας του, ίσα ίσα νομίζει ότι είναι καλύτερος από πολλούς άλλους στους οποίους κριτικάρει και ίσα ίσα νομίζει ότι είναι στο απυρόβλητο και οι άλλοι όλοι πρέπει να αλλάξουν και να διορθωθούν!  Τέλος τα θεολογικά γυρίζω πάλι στο βίντεό σου αλλά και γενικότερα σε όλα τα βίντεο καθώς έχω δει τα περισσότερα, υπονόησες κάτι προς το τέλος  το οποίο υπογραμμίζω ότι δεν μισείς όλους αυτούς που ήθελαν να σου κάνουν κακό και έτσι ελευθερώθηκες...και είναι μια μεγάλη αλήθεια! Αυτό στην εκκλησιαστική γλώσσα λέγεται μνησικακία να θυμάσαι τι κακό σου κάνει ο άλλος και να θες να ανταποδώσεις και να εκδικηθείς αλλά στην ουσία είναι κάτι που τον ίδιο κατατρώει και χρειάζεται πολύ εσωτερική διαδικασία και αναμέτρηση με τον ευατό για να μπορέσει κάποιος να το προσπεράσει και να ελευθερωθεί!   Θα κλείσω με κάτι που μας έλεγε στη σχολή ένας καθηγητής που έχει τότε κοιμηθεί αλλά ήταν κορφή και ερχόντουσαν και από άλλες σχολές για να τον ακούσουν ονόματι Παπαπέτρου  (το έλεγε για την τηλεόραση βέβαια αλλά ισχύει και για το διαδίκτυο και για το θέμα  των προβολών σε οποιαδήποτε πλαφόρμα ): ¨Η Κοινωνία μας είναι σε μορφή πυραμίδας όπου πάνω πάνω είναι οι λίγοι καλλιεργημένοι κτλ και κάτω κάτω ο πολύς κόσμος αυτός που θεωρείται αμόρφωτος τα κατώτερα στρώματα. Παλιότερα υπήρχε η εκπαιδευτική τηλεόραση που προσπαθούσε τους κάτω να τους πάει πιο πάνω! Τώρα μια εκπομπή θεωρείται επιτυχημένη όσο την βλέπουν περισσότερο (κατά αναλογία ένα κανάλι ή ένα βίντεο όταν έχει περισσότερες προβολές και λικε και κοινοποιήσεις)! Οπότε η πυραμίδα αναποδογυρίζεται και σκοπό έχει και τους λίγους πάνω να τους κατεβάζει κάτω...αλλιώς η εκπομπή κόβεται... ¨! Έτσι και εδώ όσοι έχουν κανάλια, εννοείται είναι ελεύθεροι να βάζουν ότι τους εκφράζει αλλά να έχουμε όλοι στο μυαλό μας (βάζω και τον ευατό μου στο μικρό κανάλι που έχω) αν αυτό που ανεβάζουμε όντως ωφελεί , όντως είναι σύμφωνο με τα νομικά στάνταρ και δεν προσβάλει κάποιον ανήλικο, άνθρωπο ΑΜΕΑ, γυναίκα ειδικά αλλά και γενικότερα την αξιοπρέπεια κάθε ανθρώπου κτλ! Γιατί η επανάσταση (να αλλάξουν τα πράγματα) θέλει και επαναστάτες (θα ξεκινήσουμε δηλαδή να αλλάζουμε τους αυτούς μας για να αλλάξουν τα πράγματα)! Συγνώμη για το μεγάλο σχόλιο! ΣΕ ΕΥΧΑΡΙΣΤΩ συνέχισε έτσι!",greek
"έτσι, δεν ανεβάζει για 70 χρόνια και ανεβάζει 3 την ίδια μέρα  Anywayy άντε μας έλειψες. ΑΛΛΑ ΠΕΡΙΜΕΝΟΥΜΕ ΜΠΡΑΦΦΦ",greek
Περα απο οτι συνεχιζεις να μας ανοιγεις τα ματια σχετικα με το ελληνικο youtube (εμενα φαντασου μου καλυψες οποιεσδηποτε αμφιβολιες ειχα) καταφερνεις να με ανεβασεις και σε ψυχικο επιπεδο!,greek
He really needs his own cooking channel I swear,english
"Τι να πω, με έκανες να συνηδητοποιήσω ότι έκρινα για άλλη μια φορά, γρήγορα, χωρίς να ξέρω τι παίζεται και σαν κλασσικός τυπικός viewer, επηρεάστηκα απίστευτα εύκολα από τα ""πάνω πάνω"". Πράγμα που ως ένας από τους ""παλιούς"" θα έπρεπε να γνωρίζω καλύτερα. Έσβησα τα δύο προηγούμενα comments μου (δεν παίζει ρόλο αν δεν τα είδε κανείς, μου αρκώ εγώ)  και σε ευχαριστώ που μας δίνεις κάτι ποιοτικό να βλέπουμε και να καταλαβαίνουμε τι παίζεται στην ελληνική youtube σκηνή.",greek
to viral news egine braf!pes to!,greeklish
Tha pame gia proino.,greeklish
Ρε mikeius πολυ αστεια τα viral videos αλλα γιατι δε κανεις μπραφ παλι,greek
Perfect egg fry rice!,english
"This man is a national treasure, protect him at all cost!",english
Γηραιός φαν σου,greek
"Φίλε επρεπε να σχολιάσω και εγώ.Έχωντας περασει απο καταθλιψη, αγοραφοβια και αγχωδης διαταχη όταν έχασα μια πολυ πετυχημενη επιχειρηση, ταυτιστηκα με πολλα απο οσα είπες (που λιγοι καταλαβαν). Σε ευχαριστω.",greek
I see a grandma taking this seriously and telling their grandchildren the cooking channel they recommend her was good,english
"Για ακομα μια φορα εβαλες τα γυαλια σε πολυ κοσμο με ενα πολυ ωραιο και με συνοχή βιντεο. Πολλα συγχαρητήρια Αλεξ.

Υ.Γ. Μην κανεις καμια μαλακια και σταματησεις το YouTube.",greek
Always a good day when HowToBasic uploads.,english
+1 opios to vlepei to 2017-18,greeklish
Me kaneis na gelao.,greeklish
Απ τα καλύτερα βίντεο που έχω δει ποτέ ίσως και το πιο ολοκληρωμένο θα έλεγα…μπραβο Αλέξανδρε ,greek
I’m in love with the result when I cooked this! You have earned my respect and I hope to receive another tutorial!! 10/10,english
Please do a mcdonalds hash brown tutorial next,english
"Ρε Booyah, τι θα γινει με την παρτη σου αγορι μου;;; Τρεις φορες ειδα το βιντεο και τις τρεις ανακαλυψα και κατι διαφορετικο σε αυτα που ελεγες. Αυτο παει να πει ΤΕΧΝΗ!!! Μπραβο!",greek
"Se latrevo poli, minia.",greeklish
"The man, the myth, the legend came back for another banger",english
Όταν βγήκε το ελληνικό YouTube 5 βγήκε όταν ήμουν Πέμπτη Δημοτικού και το ελληνικό YouTube 4 βγήκε τώρα που είμαι τρίτη γυμνασίου. Περίμενα χρόνια να βγει και μόλις βγήκε κατάλαβα ότι άξιζε η αναμονή. Απλά τέλειο μπράβο,greek
"This recipe is so good, i love it! I use it every time since discovering it",english
Επεστρεψα εδω για να γραψω οτι αυτο ειναι το καλυτερο βιντεο που εχω δει στο ελληνικο youtube και ισως το καλυτερο που υπαρχει... Δεν παρακολουθουσα καν booyah πριν απο αυτο αλλα τωρα δεν εχω να πω τιποτα εκτος απο απλα respect.,greek
Τέλος του 2023 και δεν μπορούσε αυτό το βίντεο να μην είναι πιο επίκαιρο από ποτέ,greek
Eimai edo gia na se xereto! ,greeklish
this was so helpful! especially the part where you added the extra egg for a hint of egg,english
"This is art, thank you for share your talent",english
parata mas me to heads and solders ego otan to bazo bgazo pitirida,greeklish
"Το βίντεο το βλέπω και θέλω να το ξανά δω, είναι σαν το end game έπος,ξέρουμε ότι τους δίκασες αλλά μην σταματήσεις το YouTube ",greek
Booyah πάντα σε είχα ψηλά! Με αυτό το βίντεο όντως πήγε τέρμα πάνω στην εκτίμηση κ θαυμασμό! Respect απλά! Ένα true booyah boss βίντεο! ,greek
I love it when he does everything right THEN goes crazy. that way I can actually cook.,english
ε ψήφισε νέα δημοκρατία οκ,greek
"Αρχικά, 2 ώρες και 22 λεπτά μας ξενύχτησες.... Στην συνέχεια, επιτέλους που το ανέβασες για να γίνει γνωστό το θέμα και μερικές συμπεριφορές. Δυστυχώς, άμα δεν παρακολουθείς σου φαίνεται πολύ drama αλλά τελικά είχε αρκετά μεγάλες προεκτάσεις. Ήθελε κότσια το Video. Συγχαρητήρια από έναν από τους αρχικούς σου subs (σε παρακολουθώ από το 2013 δεν ήξερα ότι μπορείς να το δεις... τι μαθαίνει κάνεις στα video)",greek
Pame gia ygeia stin.,greeklish
"Οντας χρονια εδω... οταν βγηκε αυτο το βιντεο το σνομπαρα... εν τελη το ειδα και τα συναισθηματα... μικτα 
το τελος του βιντεο promising... εδω για αλλα τοσα να δω τι ερχεται",greek
Τροφή για σκέψη αυτό το βίντεο! Φοβερή δουλειά! Από τα 10 μέχρι και τα 18 μου βλέπω τα βίντεο σου και θέλω να πω ότι είσαι απλά γαματος και φαίνεται η εξέλιξη που έχεις κανείς όλα αυτα τα χρόνια!,greek
mprabo re mikeius eisai esu o jeremy kai o maliatsis oi agapimenoi mou ,greeklish
"I’m a college student looking for easy recipes, this is perfect!!",english
Kapios 2019?,greeklish
Ηταν αστειο αυτο,greek
thank you for making these videos! these recipes are so delicious and i thoroughly enjoyed my meal. the eggs were exquisite!,english
Ημέρα 10 που βλέπω αυτό το βίντεο (είναι γαμάτο που είναι 2:30 ώρες γιατί το έχω πλέον να παίζει στο μπακραουντ συνέχεια οσο κάνω κάτι άλλο ταυτόχρονα) και ακόμα να το βαρεθω. Απίστευτη δουλειά για άλλη μια φορά και πάνω από όλα με γεγονότα και όχι αερολογιες. Ωραίος ρε Αλέξανδρε!,greek
"Ω ρε μαν, δεν θελω ποτε να σε εκνευρισω η να παρεξηγηθουμε. Είσαι υπέροχος και εμείς είμαστε όλοι ένα μάτσο χάλια.",greek
"Believe it or not, after years that I didn't watched his videos... This is perfection! (not the recipe themselves, but the skits he made )

Even his meal is almost finished, I'm just surprised that he keeping an ""eggs attack"" signature into it..",english
Στα 30 μου πλεον μπορω να πω οτι ΝΤΡΕΠΟΜΑΙ για το ποσο επηρεαστηκα απο τον θειο τζακ. Φιλε μου πολυ δυνατο βιντεο και ολο αυτο που εκανες και μιλησες με τις αποδειξεις. Μπραβο σου,greek
"Χαίρομαι που κανένα από τα ""παλικάρια"" που έδειξες δεν είχα κάτσει ποτέ να δω βίντεό τους.
Χαίρομαι που αποφασίζεις να αφιερώσεις χρόνο και εγκεφαλικά κύτταρα για να φτιάχνεις βίντεο καλύτερα από ερευνητές δημοσιογράφους.
Χαίρομαι που στη ζωή σου κάνεις αυτό που σε γεμίζει και αλλάζεις πορεία όταν το τερματίσεις.",greek
Πολυ καλος,greek
"Ρε , πρώτη φορά βλέπω βίντεο σου , και ΔΕΝ ΠΜΟΡΩ ΝΑ ΠΙΣΤΕΨΩ το πόσο έξυπνος είσαι . Φαίνεσαι τόσο ντόμπρος , τόσο καλούς . Πραγματικά respect . Λίγοι άνθρωποι έχουν τη δικιά σου σοφία . Ρε απλά πάτησα το βίντεο και ήμουν σε φάση: Τι έγινε τώρα , τι συμβαίνει με εμένα . Ρε Όντως δεν σου κάνω πλάκα , και εγώ έχω γίνει υποκρίτρια και το κατάλαβα από αυτό το βίντεο . Ρε πραγματικά respect . Πραγματικά με έπεισες με τα δικά σου και μόνο επιχειρήματα . PESPECT",greek
"Αδερφέ πρώτη φορά σε βλέπω... χίλια συγχαρητήρια ρε φίλε.. είπες αλήθειες που κάποιοι τεμπέληδες εκμεταλευτες ανθρωπίνων ψυχών, κάποιοι σκατανθρωποι έχασαν τον ύπνο τους.. Συγχαρητήρια πολλά ρε φίλε",greek
"Για τα ""What the Fact"", επειδή και εγώ ψάχνομαι κάποιες φορές με επιστημονικά videos και πάντα αν δεν έχει το ίδιο το video τις αποδείξεις που χρειάζονται, το googlάρω για να δω αν ισχύει. Οπότε πολλές φορές έχω κάτσει ώρες πάνω σε ένα video για να δω αν ισχύει. Μπορεί να εννοεί και αυτό ο Mikeius.Μια υπόθεση κάνω επειδή μου έχει συμβεί.",greek
"Το συγκεκριμένο βίντεο και εν γένει όλη η σειρά, περικλείει ολόκληρη την ιστορία του ελληνικού youtube.
Και δυστυχώς όλα τα μηνύματα και οι πικρές αλήθειες που ειπώνονται θα εκτιμηθούν πολύ αργότερα από το ηλικιακό target group της πλατφόρμας. Συγχαρητήρια, όση σημασία κι αν έχει.",greek
"Τι να κάτσω να γράψω τώρα. Κάθε 5 λεπτά έλεγα αυτό θα του πω. Όχι το άλλο ήταν πιο ασήμαντο. Καλύτερα αυτό. Λοιπόν Booyah. Αγάπη πολύ θα σου στείλω και θα σε ευχαριστήσω που ""βάζεις πλάτη"" στο ελληνικό YouTube. Σημαντικό να πω ότι δεν είμαι καν απ' τους hardcore fan σου και όμως είπα ""α για να δω μπα και έβγαλε κάτι ο Booyah"" και ας μην μου τι πέταξε στην αρχική. Αυτό σημαίνει ότι αφήνεις κάτι. Ότι και να είναι αυτό για τον κάθε ένα",greek
My family loves this this vid was a huge help thank you,english
"συμφωνω απολυτα με το περιεχομενο, οι εντιτιες ειναι επικες, αλλα λιγο το υφος απολυτης υπεροψιας και τα αισθηματα ανωτεροτητας τοσο απο τους αλλους δημιουργους, οσο και απο το κοινο, δε μπορω να πω οτι δε με ενοχλησαν",greek
"Μπουγιακο μου με καλυψες πλήρως. 
Είσαι δύναμη ψυχής πραγματικά 
Χαίρομαι πολύ που ανακαψε η ψυχολογία σου και φάνηκε ️",greek
WOW you're recipes are the best! I serve this delicious meal to my family at least once a week.,english
"Το πρώτο που μου ήρθε μόλις είδα αυτό το βίντεο ήταν μια φράση που φοβήθηκα να γράψω ,με τον φόβο μην το σταματήσεις και αυτό ... αλλά είναι κρίμα να το κρατήσω για τον εαυτό μου. GAME OVER για άλλη μια φορά !! Το τερμάτισες το Ελληνικό Youtube. Ελπίζω παρόλα αυτά να συνεχίσεις τα βίντεο  Διδάσκεις και τους viewers , και τους creators και κάθε ""αφεντικό"" αυτής της πλατφόρμας.",greek
This brought tears to my eyes.,english
Kalimera! ,greeklish
Pos perases tin imera sou? ,greeklish
"Κανε αυτο  που κανεις παντα. Δηλαδη οτι γουσταρεις και ασε τους parasocial και τους κομπλεξικους ""creators""(γελάω με τον μικροσμο του ελληνικου youtube)  στην σπηλια τους.",greek
You know what would be really funny. If he just started making regular cooking tutorials out of the blue one day.,english
Μάγκα μου καλο αλλα πολυ διαφημηση,greek
"Τα λόγια σε αυτό το βίντεο είναι περιττά. Τα εξηγεί όλα, τα είπε όλα... με τον δικο του τρόπο! Απλά απίστευτος ",greek
"Μίκεους, έχεις πέσει σε επίπεδο Βουλαρίνου και χαμηλότερα. Άνετα θα μπορούσες να την κάνεις στην τηλεόραση αυτή την εκπομπή.",greek
"Εγώ Booyah σε είδα σήμερα,δε σε ήξερα καθόλου.Δεν φανταζόμου ποτέ οτι το ελληνικό youtube απαρτιζόταν από τόσους μπακαλιάρους,βλέπε Μικεέυ.Αλλα είσαι αληθινός ρε man και κάνεις κόσμο που δε σε ξέρει να σε σέβεται.Well done bro.",greek
"Το 3ο επεισοδιο το καλυτερο σου μεχρι τωρα. Μου αρεσει αρκετα θα ελεγα το concept της νεας σου εκπομπης. Ωστοσο πρεπει να ξεπερασεις τον εαυτο σου για να μας κανεις να ξεχασουμε το Μπραφ και να λεμε ""ποτε θ'ανεβασεις Viral news Mikeus""..",greek
"μπορεί να μην έχουμε δουλειές, να περιμένουμε ακόμη την αναπτύξη, αλλά εξάγουμε ιδέες ρε φίλε: ""Οι σύμβουλοι του ελληνικού (οχλο)στρατού, τώρα και στη Συρία...!""

Μήπως να το σκεφτούμε και να το κάνουμε κανονικό εξαγώγιμο προϊόν;",greek
As someone from Thailand I can confirm this is exactly how you make it,english
"Another excellent recipe from the master! I tried making this dish and it ended up perfectly!


Also may you make stir fried noodles?",english
Δεν ήταν απλά ένα βίντεο ήταν κάτι παραπάνω ήτανε μια βαθιά ψυχανάλυση στον καθένα μας και ένα ασανσέρ συναισθημάτων όπως είπε και ο ίδιος. Πραγματικά ήταν ότι καλύτερο έχω δει ...,greek
"Η μουσική επιλογή που χρησιμοποιήθηκε σε συγκεκριμένα σημεία του βίντεο για να δώσει έμφαση ή να συμπληρώσει τα λεγόμενα , είναι απλά διάμαντακι (π.χ revenge, nonstop)",greek
"Μλκ μου κατέστρεψες το μυαλό. Έριξες ότι μαμημένο μύθο ύπαρχει για το Youtube. 
Ειμαι στη μια ώρα και 41 λεπτά του βιντεο και νιωθω ότι τα έχω δει όλα. Αλλά μάλλον έχω ακόμα δρόμο.",greek
"Apart from his Youtube life, I deadass believe that he's a great cook with a huge knowledge of recipes ",english
"this video is structured very weird, but the point gets across. Great job as always, video essays aren't easy",greek
"Οι δυόμισι ώρες περνάνε νεράκι 
  Το έχω λιώσει!",greek
"Και κάπως έτσι με ένα δίωρο βίντεο ενας Creator σε κάνει να θές να γίνεις καλύτερος άνθρωπος, Σε ευχαριστώ Booyah",greek
"Να με κάνει το βίντεο, να διαβάζω τα σχόλια και να αμφισβητώ όχι το πόσο καλό ήταν, αλλά το πώς αυτά τα καλά λόγια που γράφονται είναι μια επιβεβαίωση της επιφανειακής φιλοφρόνησης, μια υποκρισία εν ολίγοις. Συγχαρητήρια και σε ευχαριστώ που μας λες κατάματα μεγάλες αλήθειες.",greek
Το όλο κονσεπτ άρχισε δυνατά και τελείωσε ηρωικά και σίγουρα θα το θυμόμαστε όλοι γιατί στο τέλος ο  booyah boss πετυχαίνει πάντα τους στόχους του respect,greek
τι ηταν αυτο το τελευταιο dance χαχαχαχαα,greek
